Yr,Mes,Mujer,Hombre
2017,8,9,6
2017,9,9,6
2017,10,9,6
2017,11,9,6
2017,12,9,6
2018,1,9,6
2018,2,9,6
2018,3,9,6
2018,4,9,6
2018,5,9,6
2018,6,9,6
2018,7,9,6
2018,8,1,2
2018,9,1,2
2018,10,1,2
2018,11,1,2
2018,12,1,2
2019,1,1,2
2019,2,1,2
2019,3,1,2
2019,4,1,2
2019,5,1,2
2019,6,1,2
2019,7,1,2
2019,8,2,4
2019,9,2,4
2019,10,2,4
2019,11,2,4
2019,12,2,4
2020,1,2,4
2020,2,2,4
2020,3,2,4
2020,4,2,4
2020,5,2,4
2020,6,2,4
2020,7,2,4
2020,8,3,3
2020,9,3,3
2020,10,3,3
2020,11,3,3
2020,12,3,3
2021,1,3,3
2021,2,3,3
2021,3,3,3
2021,4,3,3
2021,5,3,3
2021,6,3,3
2021,7,3,3
2021,8,4,2
2021,9,4,2
2021,10,4,2
2021,11,4,2
2021,12,4,2
2022,1,4,2
2022,2,4,2
2022,3,4,2
2022,4,4,2
2022,5,4,2
2022,6,4,2
2022,7,4,2
2022,8,8,1
2022,9,8,1
2022,10,8,1
2022,11,8,1
2022,12,8,1
2023,1,8,1
2023,2,8,1
2023,3,8,1
2023,4,8,1
2023,5,8,1
2023,6,8,1
2023,7,8,1
2023,8,6,9
2023,9,6,9
2023,10,6,9
2023,11,6,9
2023,12,6,9
2024,1,6,9
2024,2,6,9
2024,3,6,9
2024,4,6,9
2024,5,6,9
2024,6,6,9
2024,7,6,9
2024,8,7,8
2024,9,7,8
2024,10,7,8
2024,11,7,8
2024,12,7,8
2025,1,7,8
2025,2,7,8
2025,3,7,8
2025,4,7,8
2025,5,7,8
2025,6,7,8
2025,7,7,8
2025,8,8,7
2025,9,8,7
2025,10,8,7
2025,11,8,7
2025,12,8,7
2026,1,8,7
2026,2,8,7
2026,3,8,7
2026,4,8,7
2026,5,8,7
2026,6,8,7
2026,7,8,7
2026,8,9,6
2026,9,9,6
2026,10,9,6
2026,11,9,6
2026,12,9,6
2027,1,9,6
2027,2,9,6
2027,3,9,6
2027,4,9,6
2027,5,9,6
2027,6,9,6
2027,7,9,6
2027,8,1,2
2027,9,1,2
2027,10,1,2
2027,11,1,2
2027,12,1,2
2028,1,1,2
2028,2,1,2
2028,3,1,2
2028,4,1,2
2028,5,1,2
2028,6,1,2
2028,7,1,2
2028,8,2,4
2028,9,2,4
2028,10,2,4
2028,11,2,4
2028,12,2,4
2029,1,2,4
2029,2,2,4
2029,3,2,4
2029,4,2,4
2029,5,2,4
2029,6,2,4
2029,7,2,4
2029,8,3,3
2029,9,3,3
2029,10,3,3
2029,11,3,3
2029,12,3,3
2030,1,3,3
2030,2,3,3
2030,3,3,3
2030,4,3,3
2030,5,3,3
2030,6,3,3
2030,7,3,3
2030,8,4,2
2030,9,4,2
2030,10,4,2
2030,11,4,2
2030,12,4,2
2031,1,4,2
2031,2,4,2
2031,3,4,2
2031,4,4,2
2031,5,4,2
2031,6,4,2
2031,7,4,2
2031,8,8,1
2031,9,8,1
2031,10,8,1
2031,11,8,1
2031,12,8,1
2032,1,8,1
2032,2,8,1
2032,3,8,1
2032,4,8,1
2032,5,8,1
2032,6,8,1
2032,7,8,1
2032,8,6,9
2032,9,6,9
2032,10,6,9
2032,11,6,9
2032,12,6,9
